	954.0
jyga	2.0
karang	7.0
mrmbully	1.0
kitchen	1.0
datangpun	1.0
buzzr	1.0
palsu	340.0
nglayap	1.0
dunia	513.0
pempimpin	1.0
pemengah	1.0
freemason	2.0
pembasmi	1.0
gombsal	1.0
buntel2	1.0
membubarkan	10.0
berbangsa	3.0
riyono	111.0
ngelonin	1.0
kprupsi	1.0
pndukung	20.0
sirra	4.0
sirri	1.0
umroh	21.0
ikutribut	1.0
yaaahhh	2.0
budget	6.0
setalah	1.0
bupatinya	2.0
pnduduk	3.0
kudenger	1.0
riyah	1.0
pnghitungan	1.0
dikampung	5.0
15tahun	1.0
glar2	1.0
winasih	2.0
bobotnya	2.0
ciieee	1.0
kebenar	1.0
mengkafirkan	10.0
sesaaaat	1.0
wadubb	1.0
keterlubatan	1.0
samalah	3.0
pahamnya	2.0
hahahahhahahhahahhahahahahahahhahahabahahahababbabhahbabababababababababhahaha	1.0
cicilannya	2.0
bettul	3.0
hyang	1.0
preventif	5.0
mrh2in	1.0
dipojokin	1.0
diumpet2in	1.0
senyaaap	1.0
siruh	1.0
kosim	2.0
berhati2	2.0
indonesiaqu	1.0
disasar	1.0
sediain	2.0
pnjrkn	1.0
12344	1.0
buzur	1.0
onyet	1.0
benernya	9.0
mendungkung	1.0
citanya	3.0
payahnya	2.0
sisa2	2.0
mengulur	1.0
karate	2.0
bermimpi	13.0
kebende	1.0
pemistaan	1.0
bongko	1.0
manis2	3.0
baktimu	1.0
lomba	5.0
memori	1.0
sebenarx	6.0
astafifulah	1.0
memfatwakan	1.0
berbangga	2.0
kehancurannya	2.0
margito	1.0
aebaliknya	1.0
menteri2	1.0
didzolimi	10.0
memekkk	1.0
palzu	1.0
sisax	1.0
nurmantyo	3.0
jeanie	1.0
kerangka	5.0
kristus	15.0
australi	3.0
bikang	1.0
maafkan	28.0
blassss	2.0
australu	1.0
perberat	1.0
dogmatis	1.0
guliing	1.0
didiami	1.0
moga2	12.0
ranjang	5.0
infratruktur	1.0
dikrmkan	1.0
ancang	2.0
onyon	1.0
waduhh	1.0
setahu	11.0
dipertimbangkan	1.0
paman	2.0
bajakanya	1.0
extasi	3.0
pamai	2.0
ssja	1.0
njjengg	1.0
memghadapi	1.0
pemukluan	1.0
ahahahahah	1.0
menungso	4.0
mujahidin	3.0
ababil	1.0
maning	13.0
ssma	1.0
digusur	18.0
tenggelamin	2.0
gemetar	5.0
pesertanya	1.0
ogah	37.0
rkomentar	1.0
mantanku	1.0
jeaned	2.0
wkwkkwkwkwkwkwkw	1.0
gemetat	1.0
tilus	1.0
bongin	1.0
preksa	1.0
hancurkaaaaaaaaaaaannnnnnnnnnn	1.0
otentiknya	1.0
ditonjolkan	1.0
lebeli	1.0
setali	13.0
sirem	1.0
palde	3.0
korps	1.0
ssok	1.0
proootttt	1.0
dibilanv	1.0
permaikan	1.0
ngadain	6.0
dulu2	4.0
maruuk	1.0
ngedumel	3.0
umrah	6.0
pahammmm	1.0
ogan	1.0
bederet	1.0
ulananya	1.0
sorban	31.0
waduuh	4.0
pelanggar	7.0
rela2	1.0
pelanggan	2.0
dilanjutin	2.0
merasuki	2.0
dirobek	1.0
perkawinan	5.0
aksiden	1.0
palat	1.0
palah	2.0
palak	11.0
istigfar	13.0
ulangan	1.0
tauuuuk	1.0
duluu	1.0
tauuuuu	1.0
xxixixixi	1.0
menyertai	2.0
imbanglah	1.0
rixiq	1.0
kongkali	1.0
mamaknya	2.0
duluh	1.0
sirik	87.0
rixik	1.0
modarrrr	1.0
sirih	5.0
siraj	6.0
biangnya	21.0
sirah	1.0
koruf	2.0
sirat	1.0
kejelekan	7.0
perkosaan	4.0
siram	2.0
baba	2.0
buzerr	1.0
kristolog	1.0
menyedihkannn	1.0
bab1	1.0
palig	1.0
djlnkan	1.0
mnjlekan	1.0
kesengsaraan	1.0
buyar	1.0
mngalihkan	1.0
buyan	2.0
korup	154.0
perbesar	1.0
bersumbu	3.0
memekmu	1.0
korut	5.0
ampouw	2.0
korum	1.0
korun	3.0
sulistiyo	2.0
sentero	1.0
mengadili	7.0
bae2	1.0
back	15.0
yeeeaaaaccchhh	1.0
lolos	30.0
membangunkan	2.0
dpilgub17	1.0
dirobah	1.0
bebaslah	1.0
sstt	1.0
repooot	4.0
mengepung	1.0
wodyaaaaarrrr	1.0
teugaskan	1.0
dibilang	144.0
babo	1.0
sebntr	1.0
relax	1.0
babi	1136.0
babj	1.0
babe	428.0
irrasional	1.0
ontrack	1.0
berkaca2	2.0
celakanya	1.0
baca	402.0
relah	1.0
ssst	1.0
baby	20.0
tausyiah	2.0
babu	27.0
ahahahahha	1.0
diselotip	1.0
sebanyak	14.0
prtahanan	1.0
mngkar	1.0
sirna	2.0
baek	23.0
dampaknya	7.0
zok0wi	1.0
ksbaran	1.0
behehehehe	1.0
tilep	3.0
samakan	12.0
semangaatt	1.0
maruli	1.0
jawabnya	3.0
moutong	1.0
terringgal	1.0
hancuuuur	1.0
adaorang	1.0
memoan	1.0
badi	1.0
bade	1.0
rutinitas	1.0
guyonan	3.0
siroj	1.0
maniak	5.0
siroh	1.0
tenggelam	29.0
baea	1.0
statemen	8.0
maniac	1.0
bagt	1.0
sirot	1.0
bago	1.0
ditangk	1.0
bagi	373.0
20milliyar	1.0
bahh	7.0
dihindari	1.0
ssmpsika	1.0
ssya	2.0
bafu	1.0
menembak	4.0
yandri	3.0
bage	2.0
comberannya	1.0
curut	2.0
braaayyyy	1.0
dullu	1.0
xaea	1.0
chinanization	1.0
siriq	1.0
bait	3.0
ditanam	4.0
asuuuuuuuuuu	1.0
bais	2.0
diperalat	12.0
menghamili	2.0
baim	2.0
rrrrr	1.0
baik	1273.0
ditanah	4.0
dipeti	1.0
amieeennn	1.0
baja	7.0
pinggirx	1.0
berkabut	1.0
munculin	5.0
bahu	3.0
bertugas	20.0
dihukumi	1.0
tenggelem	1.0
kelaguan	2.0
bahi	1.0
bayaranmu	1.0
ngadatt	1.0
diancam	12.0
mencibir	5.0
nyasdap	1.0
diumrohkan	1.0
gorela	1.0
baku	1.0
palng	1.0
sakratul	3.0
bali	70.0
indonenesia	1.0
fanatiknya	1.0
bale	1.0
kekuning	1.0
trnsparansi	2.0
bala	8.0
dihakimi	1.0
senengnnya	1.0
baju	73.0
kosan	1.0
lekaman	1.0
gemblong	1.0
dipojokan	4.0
tilem	1.0
melerai	1.0
paloh	10.0
ngartiinnya	1.0
mengkonon	1.0
baka	2.0
00	1.0
rekom	1.0
01	3.0
mperkaya	1.0
kuwouta	1.0
02	3.0
03	2.0
04	1.0
astagfirulloh	8.0
06	2.0
07	1.0
keurus	1.0
sorang	2.0
rekor	5.0
mngkir	1.0
diucapannya	1.0
bank	25.0
lieusss	1.0
mngkin	38.0
bani	3.0
bang	285.0
seehh	1.0
bane	1.0
band	12.0
rekod	1.0
bana	1.0
xali	1.0
10	252.0
11	56.0
12	47.0
13	16.0
femikiran	1.0
14	12.0
koran	14.0
15	184.0
16	24.0
17	15.0
vangsat	1.0
mcinya	1.0
18	5.0
dumeh	3.0
19	11.0
oseng	4.0
paksi	3.0
muhamadiah	3.0
balo	1.0
teguran	6.0
paku2	1.0
paksa	64.0
kaburrr	1.0
0f	2.0
ngarasain	1.0
zalimi	3.0
buyut	2.0
bamb	1.0
pengikutya	1.0
0k	1.0
allien	1.0
20	37.0
21	15.0
22	8.0
23	11.0
24	13.0
25	13.0
ogut	2.0
26	1.0
27	3.0
suhada	3.0
28	4.0
29	2.0
sekiranya	1.0
sepokat	1.0
mampusss	2.0
slompret	2.0
bapk	3.0
bape	2.0
maruff	16.0
1l	1.0
1m	22.0
pendukun	2.0
30	34.0
bapa	53.0
31	8.0
32	4.0
1q	1.0
33	1.0
34	5.0
35	38.0
terinspirasi	1.0
36	4.0
stau	1.0
star	5.0
37	1.0
38	8.0
menguntungkn	3.0
39	1.0
1x	1.0
mngadili	1.0
2_	1.0
gordon	1.0
stay	2.0
staf	4.0
stad	1.0
blasan	1.0
2i	1.0
2j	1.0
2m	3.0
40	9.0
42	3.0
bara	3.0
45	18.0
46	2.0
47	2.0
48	10.0
2w	1.0
2x	22.0
lebaaaayyy	1.0
pahalanya	2.0
treak	2.0
lawannya	4.0
baro	2.0
3g	7.0
hooorreee	1.0
bari	1.0
betuuuul	6.0
ranahny	1.0
50	69.0
51	71.0
hahahahahahahaaaa	2.0
dumai	1.0
dibayarin	4.0
52	8.0
53	4.0
54	1.0
55	6.0
56	4.0
3t	1.0
57	12.0
sekian	24.0
3x	29.0
plus2nya	1.0
peecaaaaaaaaattt	1.0
durjanah	3.0
korek	7.0
kaumnya	10.0
kandungan	2.0
sesungguhnys	1.0
perasaan	60.0
1thn	26.0
korea	10.0
4g	13.0
4l	1.0
4m	2.0
bertabayun	2.0
60	16.0
61	2.0
62	2.0
sesungguhnya	53.0
63	9.0
berfrasangka	1.0
64	2.0
4r	1.0
65	8.0
66	1.0
pengkiaanat	1.0
68	4.0
jzmn	1.0
69	1.0
4x	3.0
maruar	1.0
admin	2.0
trtular	1.0
peredaran	2.0
undonesia	1.0
lagkah	1.0
5g	1.0
5h	1.0
pakti	1.0
treck	1.0
70	45.0
71	1.0
bati	2.0
72	11.0
73	11.0
74	2.0
75	1.0
pakta	7.0
5t	2.0
pemipin	3.0
77	4.0
78	1.0
basa	7.0
5x	4.0
stev	2.0
tansil	8.0
membacanya	2.0
baru	1205.0
bass	1.0
njlimet	1.0
6g	1.0
bau2	1.0
baso	9.0
6m	1.0
80	19.0
ster	1.0
81	1.0
muchsin	3.0
82	1.0
basi	116.0
83	2.0
sten	1.0
85	3.0
86	5.0
memelas	11.0
pjene	1.0
87	4.0
88	13.0
orngnya	2.0
penjaminan	1.0
ngijutin	1.0
trend	7.0
7c	1.0
sebodo	2.0
petualang	1.0
7m	1.0
90	20.0
91	2.0
93	1.0
niyeeeeeeeee	3.0
95	5.0
96	1.0
97	1.0
98	44.0
tikus	53.0
99	17.0
sekplah	1.0
teballllllll	1.0
topeng	26.0
batu	107.0
maaflah	2.0
penjajahan	8.0
shobat	1.0
menemani	2.0
stgh	1.0
tikua	1.0
koreksinya	2.0
bauk	4.0
bauh	1.0
repoott	1.0
ngechat	1.0
9g	1.0
terpingkal	1.0
gandain	3.0
stju	6.0
byaingin	1.0
pengikutmu	5.0
soraya	1.0
blewerr	1.0
gantengnya	1.0
pencurii	1.0
9x	2.0
kemplok	1.0
bawa	86.0
pengikutny	1.0
tenteng	2.0
sirad	1.0
stir	4.0
perkosain	1.0
betuuull	1.0
kompotitor	1.0
masyaraktnya	1.0
tdaknya	2.0
jleeebb	2.0
bayi	18.0
betsih	1.0
zultan	1.0
honorer	7.0
mngkui	1.0
koro2	1.0
baya	1.0
stlh	27.0
hambali	1.0
bayy	1.0
dizalimin	2.0
brmsalah	1.0
bayu	8.0
korma	1.0
penentuannya	1.0
beliaukan	1.0
msrkt	11.0
nyocokin	2.0
penerus2nya	1.0
stok	4.0
korni	1.0
dokumentasi	2.0
harafiah	1.0
gebrak	2.0
guombal	1.0
madalah	1.0
haraaam	3.0
stephen	1.0
mengibuli	1.0
stnk	9.0
ngaleeut	1.0
koror	1.0
pertandinganya	1.0
korop	9.0
ohak	3.0
loooh	3.0
terdongkrak	1.0
tusing	1.0
loooo	10.0
bolehnye	1.0
disekeliling	1.0
ketangkap	14.0
bebaskn	2.0
sekena	2.0
hermin	1.0
membinasahkn	1.0
kandungmu	1.0
gratiskan	1.0
menertipkan	1.0
parahhhh	5.0
planning	1.0
nyusruk	2.0
stop	47.0
alassan	1.0
uhuiyyyyy	1.0
permadi	2.0
gacoan	1.0
tercipta	5.0
sekema	1.0
keliatan	155.0
petamburan	7.0
duterte	3.0
parrrrraaah	1.0
prlakuan	1.0
melenuk	1.0
diharapkan	18.0
setannn	2.0
bbas	3.0
dsmbah2	1.0
gethuk	1.0
terdas	1.0
siuno	1.0
trkesan	1.0
kasikan	1.0
berkelit	16.0
kebelit	1.0
membimbing	9.0
yaaach	3.0
mempaaaan	1.0
pitnah	28.0
peenista	1.0
putinya	2.0
ramalan	10.0
memaaafkan	1.0
krestiani	9.0
bebaskan	14.0
pjmpinan	1.0
lembutin	1.0
seenaknyz	1.0
itong	1.0
menunduk	3.0
jkowi	6.0
boong2an	1.0
dsmbang	1.0
ohhh	10.0
kesalahanmu	1.0
yaaaah	2.0
ikuti	86.0
amplop	19.0
ndhlahoom	1.0
yaaaaa	11.0
pengungsi2	1.0
aajaaa	1.0
amplok	3.0
mengembangkan	3.0
permasalah	1.0
menebak	3.0
simbolnya	1.0
kemaluannya	3.0
permasalan	1.0
kafiirrrrrr	1.0
pernyataan	74.0
permainan	45.0
angjing	1.0
yunahar	1.0
ikut2	25.0
tarifnya	2.0
menyedihkan	17.0
menebar	47.0
ngetrend	1.0
okezone	27.0
mengamati	4.0
bernyanyilah	3.0
maturnuwun	1.0
slanker	1.0
datangnya	10.0
serobot	9.0
yuukk	1.0
herman	2.0
bebasss	1.0
hanyut	1.0
waaaahhh	2.0
amit2	27.0
revolusiiiiii	2.0
gultom	5.0
benerrrrr	1.0
diselewengkan	1.0
belajarnya	1.0
amit3	1.0
ahooooggg	1.0
umur2	2.0
siuus	1.0
gregetan	2.0
ohok	11.0
gusur2in	1.0
siaran	9.0
bbir	1.0
tiong	2.0
lumberg	2.0
elooo	2.0
tergadaikan	2.0
mencurangi	2.0
dhino	1.0
berharha	1.0
jatuhkan	18.0
rosyid	2.0
dhina	8.0
berhari2	1.0
memburuk2kan	1.0
berkelas	5.0
jabotabek	1.0
kagaduhan	1.0
murahan	50.0
berharga	8.0
egoisnya	2.0
ndonesia	2.0
chating	3.0
memgerti	1.0
mnfaatke	1.0
amin2	5.0
triak	8.0
bpngnya	1.0
buddha	7.0
kerokkm	1.0
ditelanjangi	1.0
kerokkk	1.0
seide	1.0
ketangkep	23.0
topingnya	1.0
berdasakan	1.0
lagiii	12.0
ibunda	1.0
sekean	1.0
maenan	2.0
brerufk	1.0
gregeten	1.0
amini	2.0
tembung	1.0
aminn	13.0
kesalahannya	37.0
cuuuh	1.0
membagikan	2.0
dhika	2.0
trick	2.0
kesalahanya	4.0
eloko	1.0
markondhopz	1.0
ngrugiin	1.0
segroupppp	1.0
wkwkkwkwkkwkwk	1.0
wasangka	1.0
kasiaaaaan	1.0
pembihong	1.0
kerokna	1.0
emangnnta	1.0
martir	1.0
zholim	11.0
martil	1.0
martin	5.0
lindungan	15.0
negarawan	8.0
pondasi	3.0
siiiipppp	2.0
israil	5.0
ca8ul	2.0
tebet	1.0
ambillah	1.0
setanah	1.0
berharap	50.0
suar	1.0
suap	38.0
hijabmu	1.0
mangun	1.0
hemmmmmmm	1.0
sblomsblomnya	1.0
pejamkn	1.0
bbok	1.0
remaja	5.0
berturut2	2.0
rente	1.0
renta	3.0
suah	1.0
plongo	9.0
mencairkan	3.0
sueb	1.0
menebut	1.0
lindunggi	1.0
comentnye	1.0
menebus	2.0
bbrp	13.0
sudh	13.0
sudi	17.0
comentnya	6.0
tinta	3.0
laporakan	1.0
chiina	1.0
sucu	1.0
dipatuhi	2.0
menaikan	3.0
suda	16.0
hanyot	1.0
diancok	1.0
such	1.0
suce	1.0
jbule	2.0
marten	1.0
domplang	1.0
nunakkis	2.0
suci	406.0
cocokx	1.0
rekamanya	5.0
kepribadian	5.0
santoloyo	2.0
pedalaman	3.0
boneka	54.0
tebar	36.0
teratur	6.0
tebas	3.0
sebahagia	1.0
terkendali	10.0
sufi	4.0
berkontrubusi	1.0
ohya	1.0
hahahahaahhahaahahahahahahahaajajhahahhahahahahaahaahahahahahahqhaajhaahahahahahahhahahaahahahahahqahahahahahahhahahahah	1.0
bneran	2.0
itubkebenaran	1.0
teerrrrrrlaaaluuuuuu	1.0
awalnya	5.0
ditanya	50.0
mangakali	1.0
terjujur	1.0
nainggolan	3.0
dizakati	1.0
menjalani	10.0
disurveynya	1.0
sidiknya	1.0
museum	2.0
pendidikannya	5.0
ketoprak	7.0
suer	1.0
seblak	1.0
belaguuuu	2.0
suek	2.0
annjjjrriiitt	2.0
buarkan	1.0
ketengah	1.0
wkwkwkkww	2.0
belangmu	1.0
looee	3.0
wkwkwkkwk	5.0
lgaung	1.0
mangsa	2.0
umtuk	1.0
didaerah	7.0
diobok2	1.0
suhu	8.0
sipemilik	1.0
jukkan	1.0
mempropaganda	1.0
mrncaci	1.0
belangny	2.0
ngancurin	3.0
msuhi	1.0
barometer	2.0
tebel	3.0
brkacamata	1.0
lindungin	5.0
rohingya	17.0
sugh	2.0
israel	100.0
boneng	1.0
digoblok2in	1.0
badjingan	2.0
kegentaran	1.0
dikepala	1.0
ssssttt	1.0
suke	1.0
suka	948.0
adilin	1.0
stujui	1.0
melacak	2.0
ketawa2	3.0
ejekan	1.0
sayabertanya	1.0
muchtar	3.0
kafasitas	1.0
suja	2.0
ibunya	18.0
kualitas	43.0
hadiahnya	3.0
samasama	1.0
suit	2.0
enak2kan	1.0
suma	1.0
mekengos	1.0
sumb	3.0
stuju2	1.0
wkwkwkkkk	5.0
looih	1.0
maemun	2.0
kembuktikan	1.0
duper	1.0
dibuktiin	2.0
seenaknya	55.0
ketulasan	1.0
seenaknye	1.0
takbeeeeeeeerrrrrr	1.0
sula	1.0
tornado	1.0
penggembira	2.0
diintimidasi	2.0
suli	1.0
cincang2	1.0
cara3itu	1.0
ahoookk	1.0
sule	4.0
nunjuk2	2.0
suko	1.0
laskarnya	1.0
suku	50.0
cungkring	1.0
suks	1.0
mengimpeach	1.0
dipggl	1.0
mitnahh	1.0
berhentilah	10.0
yutub	2.0
keroknya	19.0
pesuruh	2.0
adilmu	2.0
rabun	2.0
suny	1.0
mengambil	22.0
kedilan	1.0
cianara	6.0
piktor	1.0
ndraugo	1.0
setanmu	2.0
najiiiis	2.0
suni	2.0
digelanggang	1.0
panggungnya	2.0
plonga	8.0
haduhhhh	4.0
usirrrrr	1.0
adilll	1.0
trdaftar	2.0
teehipnotis	1.0
volley	1.0
lebarankuda	1.0
foke	8.0
dicaci	5.0
mengkrinalisasi	2.0
slumniny	1.0
bebasin	1.0
pakdhe2	1.0
supy	1.0
angkuh	25.0
__	1.0
ahooook	4.0
segunung	1.0
supa	2.0
puraan	1.0
mangka	1.0
mangke	1.0
a1	3.0
badutan	1.0
angkut	2.0
diagamaku	1.0
medsos	167.0
kebelet	7.0
gosongkan	1.0
sintingnya	1.0
ekaanya	1.0
sush	1.0
rizqi	5.0
sitik	1.0
rendy	1.0
susa	1.0
h1na	1.0
susi	8.0
danmenghina	1.0
jthin	1.0
bcaa	1.0
b1	2.0
b2	8.0
b3	1.0
giliran	143.0
b4	1.0
suru	3.0
b7	29.0
diemkan	1.0
rendi	1.0
perbatasan	5.0
netral	162.0
memmek	3.0
favorit	3.0
aa	93.0
ab	1.0
ac	7.0
ad	216.0
pembuatan	8.0
sure	1.0
ae	42.0
af	21.0
sebernya	1.0
rizieqer	1.0
ag	5.0
ah	400.0
panik	129.0
sura	1.0
ai	1.0
bajingan	89.0
aj	538.0
ak	24.0
al	385.0
ngeluarin	13.0
am	34.0
an	404.0
surh	3.0
panic	8.0
ap	107.0
suri	3.0
aq	149.0
ar	5.0
as	82.0
ancam2	1.0
kedibalnya	1.0
at	24.0
au	18.0
konstituen	2.0
c7	1.0
menentukannya	2.0
aw	6.0
tereak	5.0
konservatif	1.0
ay	1.0
az	28.0
bhuda	1.0
rizon	1.0
kenang2an	1.0
adinda	1.0
srndi	1.0
ba	29.0
bb	14.0
syuurrrr	1.0
bc	14.0
bd	2.0
be	126.0
bf	4.0
bg	47.0
bh	6.0
bi	18.0
bj	1.0
bk	3.0
udzon	7.0
bl	6.0
bn	6.0
bo	12.0
bp	37.0
oiii	5.0
br	124.0
bs	546.0
mengaburkan	4.0
bt	24.0
bu	223.0
pang5	1.0
bw	38.0
by	101.0
memperkarakan	1.0
menghindari	8.0
maaaaf	1.0
panen	20.0
ca	1.0
mihardjo	1.0
cb	59.0
ketanglep	2.0
cc	12.0
cd	8.0
kbnrn	1.0
keterbelskangan	1.0
trusssssss	1.0
ce	5.0
maaaas	1.0
mejauhin	1.0
beruntungnya	1.0
bajinga2	1.0
ch	2.0
ci	14.0
kmbing	1.0
pangi	24.0
ck	66.0
gegana	1.0
amplopnya	2.0
cm	255.0
dluar	5.0
pamer2in	1.0
najiiiss	1.0
dunyo	1.0
dluas	1.0
cn	1.0
co	6.0
omonganny	1.0
mangga	6.0
cp	1.0
dluan	7.0
e3	1.0
food	1.0
cr	36.0
cs	5.0
susu	22.0
cu	10.0
ngrebut	1.0
cv	1.0
cw	2.0
cx	2.0
cz	4.0
salamgigitjari	5.0
kasiaaaannnn	1.0
da	215.0
db	2.0
dc	2.0
dipelototin	1.0
dd	1.0
de	56.0
dg	517.0
gebukinn	1.0
dh	101.0
di	10271.0
sebebas	1.0
keamanan	36.0
dj	9.0
suwe	2.0
dicomment	1.0
dl	138.0
dm	1.0
dn	313.0
do	61.0
f1	3.0
dp	26.0
4tahun	1.0
dq	1.0
aaahhh	3.0
dr	1058.0
ds	1.0
kosong	95.0
du	11.0
dv	1.0
dw	7.0
dy	48.0
ksatrianya	1.0
nasbung	13.0
ea	12.0
ee	9.0
jgngak	1.0
eg	2.0
eh	227.0
mangab	4.0
ei	1.0
kepalanya	19.0
hanyaa	1.0
ek	2.0
el	7.0
karirny	1.0
en	10.0
beracara	1.0
g2	2.0
eq	2.0
hanyak	1.0
er	3.0
g4	1.0
es	31.0
et	6.0
baktiar	1.0
mangan	10.0
omonganmu	8.0
ex	19.0
suuu	2.0
ey	3.0
sinyal	2.0
mangap	6.0
mmbahayakan	1.0
buzzerrrr	1.0
urang	2.0
fa	1.0
planggaran	1.0
sumbernya	21.0
fb	7.0
rengek2	3.0
fe	1.0
fh	26.0
fi	13.0
panji	3.0
terminologi	2.0
kaidah	2.0
fm	1.0
gaptek	4.0
fp	4.0
militeran	1.0
mamusia	1.0
fr	1.0
msdyarakat	1.0
abizzz	1.0
ft	1.0
fu	1.0
fz	2.0
iringi	2.0
foso	1.0
pengucapnya	1.0
diijabahinya	1.0
membayakan	1.0
ga	3533.0
lonte	95.0
gb	6.0
gc	1.0
gd	7.0
ge	5.0
gg	17.0
gi	12.0
gj	3.0
gk	1471.0
gl	2.0
gm	1.0
gn	10.0
abubakar	1.0
go	39.0
gp	59.0
gr	14.0
gs	2.0
lont3	1.0
gt	146.0
gu	5.0
i8	1.0
gw	846.0
dunua	1.0
gx	21.0
gy	9.0
hahhhaha	1.0
form	2.0
ha	1207.0
tidaknya	13.0
hb	26.0
hd	5.0
he	489.0
hg	2.0
hh	10.0
hi	74.0
memlerjuangkan	1.0
hj	4.0
hk	2.0
tinja	8.0
hm	14.0
gentayangan	4.0
menkopohulkam	1.0
ho	12.0
hp	314.0
udzur	3.0
siasat	4.0
hr	59.0
dijemput	13.0
begini2	1.0
pemirsa	6.0
ht	30.0
hu	25.0
hx	7.0
hy	23.0
gulingin	1.0
four	1.0
ia	93.0
id	16.0
muasal	4.0
https	2.0
if	4.0
ig	1.0
ih	32.0
ii	5.0
prabochooorrr	1.0
ik	3.0
blangkon	1.0
il	5.0
in	140.0
k0	2.0
io	1.0
k2	1.0
ip	2.0
iq	14.0
firasat	1.0
mepunyai	1.0
k3	2.0
ir	7.0
is	111.0
it	67.0
iu	3.0
trhdp	10.0
ix	2.0
tinju	8.0
iy	13.0
foto	123.0
dttpkan	1.0
ploloh	2.0
ja	133.0
batoegana	1.0
jc	3.0
jd	1887.0
nsnti	2.0
je	8.0
jf	1.0
jg	1308.0
jh	2.0
ji	6.0
jj	3.0
jk	109.0
tabungnya	1.0
jl	1.0
menyangkal	6.0
jm	1.0
jn	1.0
jo	8.0
jp	1.0
jr	5.0
js	3.0
jt	40.0
ju	2.0
pemimoin	1.0
mklmlh	1.0
jw	1.0
